"id","venue","race_number","horse_name","horse_number","barrier","jockey","trainer","odds_open","odds_flag","odds_fixed_close","odds_tote","odds_place","move_percent","scratchings","result","created_at","updated_at"
1663,"Geelong Synthetic",6,"Mazzaro",8,9,"J Mcneil","Tony Mcevoy",7.50,5.00,5.50,0.00,1.85,6.67,2,NULL,"2017-09-08 08:55:04","2017-09-08 08:55:04"
1682,"Canberra",6,"The Big Bomber",5,6,"B Ward","K Dryden & S Collings",23.00,9.50,13.00,0.00,3.20,6.18,1,NULL,"2017-09-08 09:05:05","2017-09-08 09:05:05"
1707,"Tuncurry",7,"Douro",10,8,"A Layt","Terry Evans",7.50,5.00,6.00,0.00,2.25,6.67,3,2,"2017-09-08 09:20:04","2017-09-08 09:20:04"
1715,"Geelong Synthetic",7,"The Bont",9,3,"C Parish","Shay Keating",26.00,10.00,8.00,0.00,2.20,6.15,4,3,"2017-09-08 09:25:05","2017-09-08 09:25:05"
1722,"Beaudesert",6,"True Stepper",4,4,"L Cheshire","Angela Plumb",8.00,4.80,5.50,0.00,1.50,8.33,3,4,"2017-09-08 09:30:05","2017-09-08 09:30:05"
1733,"Canberra",7,"Trumbo",5,9,"P Scorse","Mick Miladinovic",4.80,3.70,4.40,0.00,1.35,6.19,2,NULL,"2017-09-08 09:40:05","2017-09-08 09:40:05"
1746,"Geelong Synthetic",8,"Hard Empire",9,2,"J Allen","D K Weir",9.50,5.50,5.00,0.00,1.60,7.66,3,NULL,"2017-09-08 09:55:05","2017-09-08 09:55:05"
1750,"Tuncurry",8,"Kendalman",1,14,"C Baker","W T Wilkes",5.50,4.00,6.00,0.00,2.20,6.82,4,NULL,"2017-09-08 10:00:05","2017-09-08 10:00:05"
1755,"Beaudesert",7,"Turkana",10,1,"J Oliver","K J Jones",8.50,5.50,9.00,0.00,2.70,6.42,1,NULL,"2017-09-08 10:10:04","2017-09-08 10:10:04"
1757,"Canberra",8,"Kopaonik",5,3,"R Hunt","Mick Miladinovic",5.50,4.00,4.40,0.00,1.80,6.82,1,2,"2017-09-08 10:15:05","2017-09-08 10:15:05"
2198,"Kilmore",1,"Miss Polly Beat",8,6,"L Meech","Mark C Webb",34.00,11.00,13.00,0.00,3.60,6.15,2,NULL,"2017-09-09 05:00:06","2017-09-09 05:00:06"
2231,"Rosehill",1,"Karavali",2,2,"H Bowman","K A Lees",4.00,3.00,3.20,0.00,1.70,8.33,1,NULL,"2017-09-09 05:05:05","2017-09-09 05:05:05"
2332,"Moonee Valley",1,"Spanish Reef",9,4,"C Newitt","K M Keys",5.50,3.60,4.60,0.00,1.75,9.60,0,2,"2017-09-09 05:20:06","2017-09-09 05:20:06"
2366,"Kembla Grange",1,"Darhad",3,4,"K Jennings","M, W & J Hawkes",5.00,3.80,3.60,0.00,1.75,6.32,1,2,"2017-09-09 05:25:05","2017-09-09 05:25:05"
2473,"Kilmore",2,"Schnoozer",12,8,"L Meech","T Busuttin & N Young",3.70,3.00,1.90,1.84,1.12,6.31,2,1,"2017-09-09 05:40:06","2017-09-09 05:40:06"
2474,"Rosehill",2,"Don't Give A Damn",7,3,"K Mcevoy","D A Williams",6.00,4.00,4.60,0.00,1.55,8.33,0,2,"2017-09-09 05:40:06","2017-09-09 05:40:06"
2583,"Moonee Valley",2,"Masculino",4,1,"J Noonan","M G Price",9.50,5.00,4.80,5.20,2.25,9.47,6,1,"2017-09-09 05:55:07","2017-09-09 05:55:07"
